,HexSSP-0,HexSSP-1,HexSSP-2,HexSSP-3,HexSSP-4,HexSSP-5,HexSSP-6,HexSSP-7,HexSSP-8,HexSSP-9,HexSSP-10,HexSSP-11,HexSSP-12,HexSSP-13,HexSSP-14,HexSSP-15,HexSSP-16,HexSSP-17,HexSSP-18,HexSSP-19,Discrete_19-0,Discrete_19-1,Discrete_19-2,Discrete_19-3,Discrete_19-4,Discrete_19-5,Discrete_19-6,Discrete_19-7,Discrete_19-8,Discrete_19-9,Discrete_15-0,Discrete_15-1,Discrete_15-2,Discrete_15-3,Discrete_15-4,Discrete_15-5,Discrete_15-6,Discrete_15-7,Discrete_15-8,Discrete_15-9,Discrete_11-0,Discrete_11-1,Discrete_11-2,Discrete_11-3,Discrete_11-4,Discrete_11-5,Discrete_11-6,Discrete_11-7,Discrete_11-8,Discrete_11-9,Discrete_07-0,Discrete_07-1,Discrete_07-2,Discrete_07-3,Discrete_07-4,Discrete_07-5,Discrete_07-6,Discrete_07-7,Discrete_07-8,Discrete_07-9,Discrete_03-0,Discrete_03-1,Discrete_03-2,Discrete_03-3,Discrete_03-4,Discrete_03-5,Discrete_03-6,Discrete_03-7,Discrete_03-8,Discrete_03-9
538,116.0,500.0,484.0,500.0,124.0,381.0,500.0,66.0,500.0,492.0,288.0,335.0,500.0,495.0,114.0,500.0,351.0,500.0,211.0,500.0,142.0,12.0,22.0,49.0,77.0,102.0,125.0,42.0,70.0,27.0,58.0,74.0,83.0,21.0,54.0,18.0,37.0,12.0,42.0,33.0,17.0,29.0,35.0,14.0,14.0,21.0,17.0,15.0,13.0,47.0,13.0,32.0,13.0,10.0,11.0,29.0,10.0,10.0,9.0,14.0,11.0,13.0,13.0,11.0,38.0,13.0,32.0,9.0,21.0,21.0
539,84.0,500.0,458.0,499.0,153.0,282.0,424.0,134.0,173.0,452.0,320.0,323.0,500.0,500.0,146.0,473.0,286.0,500.0,122.0,500.0,101.0,114.0,32.0,67.0,68.0,53.0,124.0,20.0,76.0,28.0,18.0,100.0,108.0,14.0,57.0,14.0,38.0,16.0,30.0,29.0,14.0,34.0,16.0,22.0,21.0,20.0,18.0,53.0,14.0,11.0,31.0,85.0,10.0,11.0,16.0,36.0,9.0,52.0,22.0,14.0,10.0,27.0,13.0,10.0,11.0,13.0,8.0,14.0,10.0,8.0
540,124.0,500.0,395.0,500.0,151.0,394.0,399.0,131.0,500.0,403.0,500.0,308.0,500.0,500.0,84.0,479.0,448.0,500.0,124.0,397.0,73.0,52.0,20.0,18.0,28.0,74.0,109.0,18.0,80.0,37.0,133.0,91.0,100.0,15.0,64.0,14.0,35.0,17.0,13.0,32.0,16.0,51.0,45.0,16.0,18.0,15.0,63.0,111.0,11.0,11.0,59.0,12.0,14.0,13.0,52.0,50.0,12.0,32.0,11.0,11.0,24.0,13.0,11.0,14.0,13.0,11.0,11.0,11.0,17.0,15.0
541,137.0,500.0,365.0,500.0,109.0,306.0,500.0,100.0,500.0,396.0,415.0,299.0,500.0,500.0,135.0,464.0,407.0,459.0,146.0,500.0,106.0,129.0,23.0,23.0,137.0,46.0,130.0,49.0,86.0,26.0,117.0,35.0,122.0,21.0,11.0,17.0,44.0,16.0,12.0,26.0,17.0,13.0,16.0,15.0,15.0,12.0,19.0,12.0,15.0,10.0,116.0,13.0,9.0,12.0,14.0,80.0,10.0,39.0,10.0,10.0,11.0,12.0,9.0,17.0,18.0,11.0,11.0,13.0,12.0,10.0
542,138.0,500.0,475.0,500.0,152.0,418.0,500.0,81.0,492.0,373.0,500.0,422.0,500.0,500.0,119.0,500.0,500.0,500.0,205.0,500.0,107.0,80.0,26.0,22.0,157.0,95.0,100.0,51.0,46.0,17.0,118.0,109.0,82.0,11.0,18.0,13.0,33.0,16.0,33.0,42.0,91.0,51.0,16.0,10.0,21.0,10.0,13.0,51.0,10.0,18.0,83.0,10.0,10.0,10.0,10.0,21.0,14.0,62.0,10.0,12.0,10.0,11.0,9.0,12.0,8.0,9.0,10.0,12.0,10.0,12.0
543,500.0,500.0,328.0,500.0,156.0,321.0,433.0,124.0,500.0,360.0,500.0,426.0,500.0,498.0,83.0,500.0,412.0,500.0,290.0,369.0,92.0,100.0,22.0,48.0,106.0,63.0,98.0,50.0,73.0,22.0,83.0,45.0,26.0,20.0,13.0,19.0,21.0,17.0,17.0,35.0,22.0,46.0,40.0,15.0,12.0,12.0,19.0,60.0,11.0,44.0,10.0,96.0,11.0,9.0,43.0,42.0,11.0,27.0,10.0,10.0,9.0,19.0,18.0,14.0,19.0,11.0,14.0,9.0,10.0,19.0
544,296.0,500.0,250.0,500.0,172.0,314.0,500.0,126.0,500.0,435.0,468.0,447.0,500.0,500.0,210.0,500.0,500.0,500.0,163.0,500.0,92.0,136.0,26.0,51.0,56.0,57.0,81.0,48.0,27.0,29.0,12.0,87.0,97.0,16.0,12.0,13.0,38.0,14.0,15.0,15.0,32.0,15.0,18.0,11.0,14.0,14.0,11.0,12.0,18.0,14.0,14.0,17.0,11.0,15.0,37.0,13.0,14.0,30.0,9.0,12.0,13.0,10.0,9.0,9.0,11.0,8.0,14.0,9.0,31.0,20.0
545,204.0,500.0,275.0,500.0,196.0,283.0,500.0,94.0,482.0,453.0,317.0,384.0,500.0,474.0,126.0,459.0,500.0,500.0,145.0,500.0,19.0,60.0,19.0,63.0,24.0,86.0,42.0,64.0,88.0,46.0,78.0,99.0,110.0,15.0,45.0,13.0,30.0,18.0,15.0,47.0,10.0,18.0,85.0,16.0,14.0,13.0,10.0,44.0,19.0,16.0,13.0,15.0,10.0,11.0,74.0,14.0,9.0,64.0,12.0,12.0,10.0,8.0,10.0,10.0,10.0,10.0,13.0,12.0,15.0,10.0
546,238.0,500.0,241.0,500.0,141.0,483.0,500.0,52.0,500.0,500.0,500.0,438.0,500.0,500.0,201.0,500.0,456.0,387.0,102.0,500.0,147.0,148.0,18.0,81.0,132.0,119.0,114.0,61.0,93.0,71.0,104.0,23.0,128.0,16.0,38.0,20.0,27.0,17.0,40.0,16.0,11.0,36.0,17.0,13.0,18.0,14.0,16.0,13.0,14.0,29.0,47.0,13.0,14.0,10.0,15.0,12.0,21.0,46.0,11.0,12.0,14.0,8.0,12.0,11.0,15.0,10.0,23.0,12.0,9.0,11.0
547,252.0,500.0,394.0,500.0,148.0,361.0,434.0,122.0,500.0,500.0,500.0,417.0,500.0,500.0,253.0,500.0,500.0,500.0,179.0,486.0,40.0,14.0,19.0,60.0,69.0,94.0,139.0,21.0,70.0,21.0,62.0,52.0,31.0,19.0,62.0,14.0,15.0,50.0,12.0,45.0,12.0,14.0,22.0,12.0,14.0,14.0,30.0,18.0,12.0,16.0,40.0,35.0,9.0,8.0,13.0,109.0,12.0,74.0,10.0,16.0,10.0,21.0,12.0,13.0,8.0,12.0,13.0,25.0,10.0,14.0
